id,v1,v2,v31,v32,v4,size,realSize,realSizeGif
1,TRUE,TRUE,TRUE,FALSE,TRUE,14387297,15776020,21148655
2,TRUE,TRUE,FALSE,TRUE,TRUE,15538786,17038252,22663180
3,TRUE,FALSE,TRUE,FALSE,TRUE,10539044,11562000,15673389
4,TRUE,FALSE,FALSE,TRUE,TRUE,11690533,12824232,17175405
